premiseid,premisesname,altpremisesname,customer,tenancyfloororsuite,premisetype,streetnumber,streetname,suburb,state,postcode,latitude,longitude,ratingreferencenumber,ratingtype,ratingscope,certificatevalidto,energystarratingvalue,energygpstarratingvaluenogp,energygreenpowerpercent,energygreenpower,wastestarratingvalue,ieqstarratingvalue,ghgemissionsscope123withrenewableelectricity,ghgemissionsscope123withoutrenewableelectricity,ghgemissionsscope123perm2withrenewableelectricity,ghgemissionsscope123perm2withoutrenewableelectricity,energyintensitybym2,energyintensitybyroom,ghgemissionsscope123perroom,ghgemissionsscope123perroomnogp,totalenergyuse,carbonneutral,carbonneutralexpirydate,aaastarratingvalue,datacentre_pue,hospitalpeergroup,waterstarratingvalue,waterstarratingvaluenorw,waterrecycledpercent,waterrecycled,waterconsumption,waterconsumptionworw,waterconsumptionperroom,waterconsumptionperroomnorw,waterintensity,waterintensitynorw,thermalcomfortscore,airqualityscore,acousticcomfortscore,lightingscore,officelayoutscore,recyclerate,wasteintensity,apartmentbuildingstotalnumberofapartments,agedcaretotalbeds,hotelratedguestrooms,officeratedarea,shoppingcentresratedarea,ratedsitearea_cl_rl_wc,ratedelectricity,ratedgas,gasandlpg_rei%,rateddiesel,diesel_rei%,reiresult_%,reiresult1dp_%,totalrenewableelectricity_kwh,nonrenewableelectricity_kwh,nonrenewableelectricity_rei%,onsitepvcapacity_kw,onsiterenewableelectricity_kwh,onsiterenewableelectricity_rei%,retandstateterritorytargets_kwh,retandstateterritorytargets_rei%,greenpower_kwh,greenpower_rei%,othervoluntarypurchases_kwh,othervoluntarypurchases_rei%,combined_column,_merge
4611,120 Spencer St,"120 Spencer St, MELBOURNE",The Trust Company (Australia) Limited ATF CBRE Global Alpha Spencer Trust,NULL,Office,120,Spencer Street,MELBOURNE,VIC,3000,-37.8182759,144.9540957,N67189,Waste,Base Building,2024-06-27 00:00:00,NULL,NULL,NULL,NULL,2.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NO,2024-06-27 00:00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,24,4.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4611_N67189_Waste_2024-06-27,both
4613,Robert Marsden Hope Building,Robert Marsden Hope Building,ISPT Pty Ltd,NULL,Office,2,National Circuit,BARTON,ACT,2600,-35.3055772,149.133877,N67833,Waste,Base Building,2024-11-03 00:00:00,NULL,NULL,NULL,NULL,3.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NO,2024-11-03 00:00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,39,2.95,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4613_N67833_Waste_2024-11-03,both
4683,Qantas Building,Qantas Building,Colliers International,NULL,Office,197-201,Coward Street,MASCOT,NSW,2020,-33.9249112,151.1882823,N66181,Waste,Base Building,2023-12-19 00:00:00,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NO,2023-12-19 00:00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9,2.29,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4683_N66181_Waste_2023-12-19,both
4684,Childers Square,Childers Square,Colliers International,NULL,Office,14,Childers Street,CANBERRA,ACT,2601,-35.2787852,149.1244597,N66266,Waste,Base Building,2023-12-22 00:00:00,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NO,2023-12-22 00:00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,39,2.03,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4684_N66266_Waste_2023-12-22,both
4684,Childers Square,Childers Square,Colliers International,NULL,Office,14,Childers Street,CANBERRA,ACT,2601,-35.2787852,149.1244597,N68111,Waste,Base Building,2024-10-31 00:00:00,NULL,NULL,NULL,NULL,4.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NO,2024-10-31 00:00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,51,3.22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4684_N68111_Waste_2024-10-31,both
4767,Building C,Building C,STOCKLAND TRUST MANAGEMENT LIMITED,NULL,Office,352,Wellington Road,MULGRAVE,VIC,3170,-37.91909363,145.1600556,N67560,Indoor Environment,Base Building,2024-08-03 00:00:00,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NO,2024-08-03 00:00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,56.7,84,78.2,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4767_N67560_Indoor Environment_2024-08-03,both
4784,"42-60 Albert Street, Brisbane","42-60 Albert Street, Brisbane",DEXUS Wholesale Property Limited,NULL,Office,42-60,Albert Street,BRISBANE CITY,QLD,4000,-27.4726473,153.0277596,N66856,Indoor Environment,Base Building,2024-04-30 00:00:00,NULL,NULL,NULL,NULL,NULL,4.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NO,2024-04-30 00:00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,88.8,81.3,57.6,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4784_N66856_Indoor Environment_2024-04-30,both
4784,"42-60 Albert Street, Brisbane","42-60 Albert Street, Brisbane",DEXUS Wholesale Property Limited As Trustee For DEXUS Wholesale Office Trust,NULL,Office,42-60,Albert Street,BRISBANE CITY,QLD,4000,-27.4726473,153.0277596,N64480,Waste,Base Building,2024-06-13 00:00:00,NULL,NULL,NULL,NULL,2.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NO,2024-06-13 00:00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,26,5.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4784_N64480_Waste_2024-06-13,both
4812,100 St Georges Terrace,100 St Georges Terrace,ISPT Pty Ltd,NULL,Office,100,St Georges Terrace,PERTH,WA,6000,-31.95449086,115.8578052,N66304,Indoor Environment,Base Building,2024-02-28 00:00:00,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NO,2024-02-28 00:00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,94.4,97.4,100,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4812_N66304_Indoor Environment_2024-02-28,both
4829,180 Lonsdale Street,180 Lonsdale Street,DEXUS Funds Management Limited As Trustee For The DEXUS CPA Trust AND Victoria Square QV Investments,NULL,Office,180,Lonsdale Street,MELBOURNE,VIC,3000,-37.81081041,144.9665502,N67879,Indoor Environment,Base Building,2024-08-07 00:00:00,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NO,2024-08-07 00:00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,48.4,85.3,90.6,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4829_N67879_Indoor Environment_2024-08-07,both
4838,Goulburn 159 Auburn St,Goulburn 159 Auburn St,Property NSW,NULL,Office,159,Auburn Street,GOULBURN,NSW,2580,-34.755935,149.7182122,N66562,Indoor Environment,Base Building,2024-03-23 00:00:00,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NO,2024-03-23 00:00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,40,95.8,79.1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4838_N66562_Indoor Environment_2024-03-23,both
4863,"111 Eagle Street, BRISBANE CITY, QLD 4000","111 Eagle Street, BRISBANE CITY, QLD 4000",The GPT Group,NULL,Office,111,Eagle Street,BRISBANE CITY,QLD,4000,-27.467592,153.030356,N67218,Waste,Base Building,2024-06-27 00:00:00,NULL,NULL,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NO,2024-06-27 00:00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,50,2.91,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4863_N67218_Waste_2024-06-27,both
4902,Central Park,Central Park,Perron Investments Pty Ltd,NULL,Office,152-158,St Georges Terrace,PERTH,WA,6000,-31.9537,115.85568,N68093,Waste,Base Building,2024-10-27 00:00:00,NULL,NULL,NULL,NULL,3.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NO,2024-10-27 00:00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,40,1.57,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4902_N68093_Waste_2024-10-27,both
4902,Central Park,Central Park,Perron Investments Pty Ltd,NULL,Office,152-158,St Georges Terrace,PERTH,WA,6000,-31.9537,115.85568,N68094,Indoor Environment,Base Building,2024-11-08 00:00:00,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NO,2024-11-08 00:00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,88.4,96.3,85.9,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4902_N68094_Indoor Environment_2024-11-08,both
4921,66 St.Georges Terrace,66 St.Georges Terrace,Perpetual Corporate Trust Limited,NULL,Office,62-66,St Georges Terrace,PERTH,WA,6000,-31.9546552,115.8587744,N65702,Indoor Environment,Base Building,2024-06-27 00:00:00,NULL,NULL,NULL,NULL,NULL,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NO,2024-06-27 00:00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,61.7,90,100,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4921_N65702_Indoor Environment_2024-06-27,both
4964,Government Services Office Building,Government Services Office Building,GROWTHPOINT PROPERTIES AUSTRALIA LIMITED,NULL,Office,165-169,Thomas Street,DANDENONG,VIC,3175,-37.988608,145.2124962,N65843,Indoor Environment,Base Building,2023-11-22 00:00:00,NULL,NULL,NULL,NULL,NULL,5.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NO,2023-11-22 00:00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,77.1,89.4,100,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4964_N65843_Indoor Environment_2023-11-22,both
4976,Raine Square - Bankwest Place,Raine Square - Bankwest Place,Charter Hall Limited,NULL,Office,300,Murray Street,PERTH,WA,6000,-31.9517615,115.8571545,N67565,Indoor Environment,Base Building,2024-09-07 00:00:00,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NO,2024-09-07 00:00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,92.8,94.7,100,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4976_N67565_Indoor Environment_2024-09-07,both
4984,12-14 The Esplanade,12-14 The Esplanade,CAPE BOUVARD PROPERTY HOLDINGS PTY. LTD.,NULL,Office,12-14,The Esplanade,PERTH,WA,6000,-31.956183,115.857893,N68132,Indoor Environment,Base Building,2024-10-30 00:00:00,NULL,NULL,NULL,NULL,NULL,5.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NO,2024-10-30 00:00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,74.3,92.7,96.3,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4984_N68132_Indoor Environment_2024-10-30,both
5014,Darling Quarter,Darling Quarter South Tower,The Trustee For Australian Prime Property Fund Commercial,NULL,Office,1-25,Harbour Street,SYDNEY,NSW,2000,-33.8748566,151.2027166,N67093,Indoor Environment,Base Building,2024-06-26 00:00:00,NULL,NULL,NULL,NULL,NULL,4.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NO,2024-06-26 00:00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,66.5,81.5,100,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5014_N67093_Indoor Environment_2024-06-26,both
5017,"123 Albert Street, Brisbane","123 Albert Street, Brisbane",DEXUS Funds Management Limited As Responsible Entity For The DEXUS Diversified Trust,NULL,Office,123,Albert Street,BRISBANE,QLD,4000,-27.470753,153.026739,N64525,Waste,Base Building,2024-06-13 00:00:00,NULL,NULL,NULL,NULL,2.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NO,2024-06-13 00:00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,27,1.62,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5017_N64525_Waste_2024-06-13,both
5017,"123 Albert Street, Brisbane","123 Albert Street, Brisbane",DEXUS Funds Management Limited As Responsible Entity For The DEXUS Diversified Trust,NULL,Office,123,Albert Street,BRISBANE,QLD,4000,-27.470753,153.026739,N66970,Indoor Environment,Base Building,2024-04-30 00:00:00,NULL,NULL,NULL,NULL,NULL,5.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NO,2024-04-30 00:00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,87.5,81.6,88.7,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5017_N66970_Indoor Environment_2024-04-30,both
5041,255 Pitt Street,255 Pitt Street,ISPT Pty Ltd,NULL,Office,255-269,Pitt Street,SYDNEY,NSW,2000,-33.8718136,151.2075897,N65278,Indoor Environment,Base Building,2023-12-24 00:00:00,NULL,NULL,NULL,NULL,NULL,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NO,2023-12-24 00:00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,70.3,93.1,86.8,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5041_N65278_Indoor Environment_2023-12-24,both
5045,Green Square North Tower,Green Square North Tower,ISPT Pty Ltd,NULL,Office,515,St Pauls Terrace,FORTITUDE VALLEY,QLD,4006,-27.4533114,153.0349099,N64676,Indoor Environment,Base Building,2024-02-28 00:00:00,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NO,2024-02-28 00:00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,90.1,91.9,100,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5045_N64676_Indoor Environment_2024-02-28,both
5045,Green Square North Tower,Green Square North Tower,ISPT Pty Ltd,NULL,Office,515,St Pauls Terrace,FORTITUDE VALLEY,QLD,4006,-27.4533114,153.0349099,N67836,Waste,Base Building,2024-11-09 00:00:00,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NO,2024-11-09 00:00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,25,2.62,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5045_N67836_Waste_2024-11-09,both
5053,Casselden,Casselden,ISPT Pty Ltd,NULL,Office,2,Lonsdale Street,MELBOURNE,VIC,3000,-37.8093176,144.9715668,N66302,Indoor Environment,Base Building,2024-02-25 00:00:00,NULL,NULL,NULL,NULL,NULL,5.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NO,2024-02-25 00:00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,77.5,97.3,100,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5053_N66302_Indoor Environment_2024-02-25,both
5053,Casselden,Casselden,ISPT Pty Ltd,NULL,Office,2,Lonsdale Street,MELBOURNE,VIC,3000,-37.8093176,144.9715668,N67829,Waste,Base Building,2024-11-06 00:00:00,NULL,NULL,NULL,NULL,2.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NO,2024-11-06 00:00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,25,1.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5053_N67829_Waste_2024-11-06,both
5062,One40William,One40William,Cbus Property Pty Ltd,NULL,Office,140,William Street,PERTH,WA,6000,-31.9520954,115.8582161,N67946,Indoor Environment,Base Building,2024-08-29 00:00:00,NULL,NULL,NULL,NULL,NULL,5.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NO,2024-08-29 00:00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,83.2,97.4,65.5,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5062_N67946_Indoor Environment_2024-08-29,both
5089,49-51 Victoria Street,49-51 Victoria Street,Property NSW,NULL,Office,49-51,Victoria Street,GRAFTON,NSW,2460,-29.6930475,152.9329564,N65728,Waste,Base Building,2023-12-21 00:00:00,NULL,NULL,NULL,NULL,3.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NO,2023-12-21 00:00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,59,1.22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5089_N65728_Waste_2023-12-21,both
5089,49-51 Victoria Street,49-51 Victoria Street,Property NSW,NULL,Office,49-51,Victoria Street,GRAFTON,NSW,2460,-29.6930475,152.9329564,N66620,Indoor Environment,Base Building,2024-06-14 00:00:00,NULL,NULL,NULL,NULL,NULL,3.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NO,2024-06-14 00:00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,40,96.8,64.6,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5089_N66620_Indoor Environment_2024-06-14,both
5093,181 Anson Street,181 Anson Street,Property NSW,NULL,Office,181,Anson Street,ORANGE,NSW,2800,-33.2851371,149.0979479,N66210,Waste,Base Building,2024-01-28 00:00:00,NULL,NULL,NULL,NULL,2.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NO,2024-01-28 00:00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,29,1.23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5093_N66210_Waste_2024-01-28,both
5093,181 Anson Street,181 Anson Street,Property NSW,NULL,Office,181,Anson Street,ORANGE,NSW,2800,-33.2851371,149.0979479,N66467,Indoor Environment,Base Building,2024-04-06 00:00:00,NULL,NULL,NULL,NULL,NULL,2.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NO,2024-04-06 00:00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,97.5,86.8,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5093_N66467_Indoor Environment_2024-04-06,both
5118,One National Circuit,One National Circuit,ISPT Pty Ltd,NULL,Office,1,National Circuit,BARTON,ACT,2600,-35.3056532,149.1327402,N66295,Indoor Environment,Base Building,2024-02-28 00:00:00,NULL,NULL,NULL,NULL,NULL,5.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NO,2024-02-28 00:00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,69.6,97.9,100,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5118_N66295_Indoor Environment_2024-02-28,both
5121,NULL,NULL,ISPT Pty Ltd,NULL,Office,7,London Circuit,CANBERRA,ACT,2601,-35.28150121,149.1251297,N66306,Indoor Environment,Base Building,2024-02-28 00:00:00,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NO,2024-02-28 00:00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,90.2,97.6,100,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5121_N66306_Indoor Environment_2024-02-28,both
5129,Twenty8 Freshwater,Twenty8 Freshwater,Perpetual Trustee Company Limited As Trustee Of The AP AUFW Sub Trust (ABN 81 204 215 379),NULL,Office,28,Freshwater Place,SOUTHBANK,VIC,3006,-37.82240069,144.9620618,N66212,Indoor Environment,Base Building,2023-12-23 00:00:00,NULL,NULL,NULL,NULL,NULL,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NO,2023-12-23 00:00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,55.2,97.3,95.3,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5129_N66212_Indoor Environment_2023-12-23,both
